Date,Home Team,Away Team,Home Odds,Away Odds,Home Points,Away Points
16-Oct-18,Celtics,76ers,1.47,2.79,105,87
16-Oct-18,Warriors,Thunder,1.09,8.5,108,100
17-Oct-18,Magic,Heat,2.14,1.75,104,101
17-Oct-18,Pacers,Grizzlies,1.33,3.46,111,83
17-Oct-18,Pistons,Nets,1.4,3.09,103,100
17-Oct-18,Hornets,Bucks,2.39,1.62,112,113
17-Oct-18,Raptors,Cavaliers,1.08,8.81,116,104
17-Oct-18,Knicks,Hawks,1.61,2.41,126,107
17-Oct-18,Rockets,Pelicans,1.28,3.85,112,131
17-Oct-18,Spurs,Timberwolves,1.71,2.22,112,108
17-Oct-18,Kings,Jazz,4.23,1.25,117,123
17-Oct-18,Suns,Mavericks,2.19,1.72,121,100
17-Oct-18,Clippers,Nuggets,2.13,1.76,98,107
18-Oct-18,Wizards,Heat,1.4,3.07,112,113
18-Oct-18,76ers,Bulls,1.1,7.97,127,108
18-Oct-18,Trail Blazers,Lakers,1.67,2.3,128,119
19-Oct-18,Magic,Hornets,2.03,1.84,88,120
19-Oct-18,Nets,Knicks,1.59,2.46,107,105
19-Oct-18,Raptors,Celtics,1.67,2.3,113,101
19-Oct-18,Pelicans,Kings,1.13,6.79,149,129
19-Oct-18,Timberwolves,Cavaliers,1.26,4.12,131,123
19-Oct-18,Grizzlies,Hawks,1.35,3.39,131,117
19-Oct-18,Bucks,Pacers,1.57,2.49,118,101
19-Oct-18,Jazz,Warriors,2.18,1.73,123,124
19-Oct-18,Clippers,Thunder,1.67,2.29,108,92
20-Oct-18,Wizards,Raptors,1.79,2.08,113,117
20-Oct-18,Pacers,Nets,1.26,4.08,132,112
20-Oct-18,76ers,Magic,1.07,9.61,116,115
20-Oct-18,Knicks,Celtics,4.84,1.2,101,103
20-Oct-18,Heat,Hornets,1.62,2.4,112,113
20-Oct-18,Bulls,Pistons,2.65,1.52,116,118
20-Oct-18,Mavericks,Timberwolves,1.81,2.06,140,136
20-Oct-18,Nuggets,Suns,1.17,5.44,119,91
20-Oct-18,Trail Blazers,Spurs,1.52,2.65,121,108
20-Oct-18,Lakers,Rockets,2.34,1.64,115,124
21-Oct-18,Cavaliers,Hawks,1.27,3.99,111,133
21-Oct-18,Thunder,Kings,1.14,6.31,120,131
21-Oct-18,Nuggets,Warriors,2.68,1.5,100,98
21-Oct-18,Clippers,Rockets,1.77,2.12,115,112
22-Oct-18,Raptors,Hornets,1.24,4.36,127,106
22-Oct-18,Celtics,Magic,1.12,7.09,90,93
22-Oct-18,Timberwolves,Pacers,1.76,2.13,101,91
22-Oct-18,Bucks,Knicks,1.13,6.73,124,113
22-Oct-18,Mavericks,Bulls,1.48,2.75,115,109
22-Oct-18,Jazz,Grizzlies,1.17,5.5,84,92
22-Oct-18,Trail Blazers,Wizards,1.51,2.67,124,125
22-Oct-18,Lakers,Spurs,1.85,2,142,143
22-Oct-18,Warriors,Suns,1.09,8.34,123,103
23-Oct-18,Pistons,76ers,1.96,1.9,133,132
23-Oct-18,Pelicans,Clippers,1.43,2.97,116,109
23-Oct-18,Nuggets,Kings,1.12,6.98,126,112
24-Oct-18,Cavaliers,Nets,1.68,2.28,86,102
24-Oct-18,Hawks,Mavericks,2.07,1.8,111,104
24-Oct-18,Raptors,Timberwolves,1.25,4.2,112,105
24-Oct-18,Heat,Knicks,1.28,3.98,110,87
24-Oct-18,Rockets,Jazz,1.88,1.99,89,100
24-Oct-18,Bulls,Hornets,2.65,1.52,112,110
24-Oct-18,Spurs,Pacers,1.82,2.05,96,116
24-Oct-18,Bucks,76ers,1.44,2.93,123,108
24-Oct-18,Kings,Grizzlies,2.24,1.7,97,92
24-Oct-18,Suns,Lakers,2.8,1.47,113,131
24-Oct-18,Warriors,Wizards,1.18,5.38,144,122
25-Oct-18,Magic,Trail Blazers,2.38,1.62,114,128
25-Oct-18,Pistons,Cavaliers,1.2,4.94,110,103
25-Oct-18,Thunder,Celtics,1.93,1.93,95,101
25-Oct-18,Lakers,Nuggets,2.01,1.84,121,114
26-Oct-18,Hornets,Bulls,1.17,5.5,135,106
26-Oct-18,Raptors,Mavericks,1.11,7.54,116,107
26-Oct-18,Knicks,Warriors,7.71,1.1,100,128
26-Oct-18,Pelicans,Nets,1.23,4.38,117,115
26-Oct-18,Timberwolves,Bucks,2.18,1.73,95,125
26-Oct-18,Rockets,Clippers,1.59,2.45,113,133
26-Oct-18,Kings,Wizards,2.78,1.47,116,112
27-Oct-18,Pelicans,Jazz,2.94,1.44,111,132
27-Oct-18,Pistons,Celtics,2.4,1.62,89,109
27-Oct-18,76ers,Hornets,1.36,3.31,105,103
27-Oct-18,Cavaliers,Pacers,3.48,1.33,107,119
27-Oct-18,Hawks,Bulls,1.43,2.92,85,97
27-Oct-18,Heat,Trail Blazers,1.22,2.89,120,111
27-Oct-18,Grizzlies,Suns,1.17,3.58,117,96
27-Oct-18,Spurs,Lakers,2.53,1.65,110,106
27-Oct-18,Bucks,Magic,1.18,5.34,113,91
28-Oct-18,Nets,Warriors,5.22,1.18,114,120
28-Oct-18,Thunder,Suns,1.07,9.85,117,110
28-Oct-18,Mavericks,Jazz,2.63,1.52,104,113
28-Oct-18,Clippers,Wizards,1.61,2.4,136,104
29-Oct-18,76ers,Hawks,1.12,6.87,113,92
29-Oct-18,Pacers,Trail Blazers,1.58,2.49,93,103
29-Oct-18,Knicks,Nets,1.9,1.96,115,96
29-Oct-18,Heat,Kings,1.21,4.76,113,123
